Timestamp,SoC,SoH,Battery_Voltage,Battery_Current,Battery_Temperature,Charge_Cycles,Motor_Temperature,Motor_Vibration,Motor_Torque,Motor_RPM,Power_Consumption,Brake_Pad_Wear,Brake_Pressure,Reg_Brake_Efficiency,Tire_Pressure,Tire_Temperature,Suspension_Load,Ambient_Temperature,Ambient_Humidity,Load_Weight,Driving_Speed,Distance_Traveled,Idle_Time,Route_Roughness,RUL,Failure_Probability,Maintenance_Type,TTF,Component_Health_Score,battery_temperature,voltage,current,state_of_charge,avg_current,state_of_health,mileage_km,age_months,charge_cycles,battery_replacement_cost
2021-01-09 21:15:00,0.8391424945627073,0.9377412388623108,358.6416813958683,-23.528518347620206,30.993678712130297,599.3539244010052,47.48223492095016,0.4715074427808859,172.75891143961798,4105.385871037903,23.728375858411297,0.1029278963686196,44.05932566777685,0.4297506209335073,32.881186313596785,46.29295759013952,134.417401595731,19.871015439714007,44.16572604140483,913.7177065919532,103.94493247442266,4.322394892638041,0.2041026432594306,0.2681693978575098,202.7111468686955,0,2,146.21410457608278,0.8427782182808627,20.8,320.38,184.99,11.3,127.54,57.6,129210.84,71,1725,13597.09
2023-01-24 10:15:00,0.1124126467024993,0.9338634527614664,358.0878532521675,-16.726531965411823,34.79742817035867,172.31659296060693,53.88324106027311,0.4934933196479333,141.51034127647466,1550.5820562620345,23.12899090411408,0.8114407410829076,31.3022188323463,0.885426452598537,30.17526200426073,26.190993073932923,162.94628261007708,19.5069546182963,83.55361647386431,752.4100006040243,101.8814178570727,7.840943097919338,0.2276175507649797,0.1239006627410824,234.8506762636922,1,1,14.656132626478405,0.8000533909586525,28.06,347.19,155.64,87.68,26.18,67.13,51869.69,69,1695,12226.79
2023-01-03 12:30:00,0.9551645267369616,0.9852869445245238,361.97718030409146,-14.051864985408486,51.86848020107179,193.49838821514209,42.74798504974483,0.4919969887565529,179.2300549501319,1880.374752450172,75.02901443815036,0.8300063940933462,38.179810187397095,0.5484143401512391,32.91877052210334,33.22648741887979,112.74401834999205,21.03404011191717,88.73806003860985,785.0144984204437,51.99919017875388,84.9302778689414,0.5754909925901113,0.1163630848799096,282.4511544386647,0,0,140.5277199173196,0.1887250931690128,34.52,375.19,158.92,78.49,141.33,71.52,183434.24,118,1586,13298.35
2020-03-28 21:15:00,0.8287635170700169,0.9768608801372638,371.9158893264074,-127.75653556269395,25.732653982941493,145.06164809505245,53.88962238606527,0.4941198097575771,172.487019090025,1690.994260542929,20.28082047179744,0.2957502566874082,37.47220563925392,0.9309332038006952,32.982290903786875,27.869523390655846,189.86315616811825,21.57310947918916,89.38904712634032,679.8965623791394,51.49574866810565,6.984990956048495,0.3047760294352726,0.1481610335200536,271.2926274333692,1,0,20.265937246638043,0.9740182788106906,15.39,387.43,87.99,77.41,63.89,47.59,25628.47,93,1983,12949.4
2020-01-30 00:15:00,0.8230402528780714,0.958814111153933,229.8914890397727,-36.50892459705991,32.64318117674966,191.3085682090152,85.93549034874852,0.2759912072989569,108.43139111062204,1974.6059391053911,27.19888339258248,0.1765881676777165,46.44173323691899,0.4236604806188748,34.05924078709341,31.3433434161968,449.6556652164082,10.55909085864697,35.815043587023666,983.746722703179,49.357987333598,1.5102603299549189,0.2611394043377079,0.1357704392643815,265.2817517683152,0,2,21.79278935226277,0.7076855078656917,21.57,312.05,103.08,53.89,72.59,44.03,95228.81,15,2007,13919.35
2020-04-06 15:00:00,0.963497297847768,0.9730218666545554,380.6918617825088,-24.776288306179705,26.71637677986704,618.5337018094322,53.91742839979331,0.3488272759638764,132.1215479487562,1987.3587009573864,27.66027855526448,0.1738251082515685,45.04578433358894,0.9215629971069697,31.99177460267036,29.85526523376013,173.23302642054523,20.613605415188736,32.12278697405298,1755.1942819820574,46.77793954738366,80.62118928882671,0.7609031448874218,0.8793756316140191,272.17534713915234,0,0,2.7979669182428446,0.1582676945468906,21.54,370.91,36.48,69.78,139.44,34.02,28843.01,114,2239,13471.14
2022-11-12 17:30:00,0.0523578860348472,0.4019357649616483,376.47996708640665,-38.70424980781819,30.580922109995644,184.7980038098217,55.69121977096778,0.2751543453288624,117.5314492522831,1529.886939004141,21.18506732819032,0.1318437521578982,83.58063430276705,0.5508848593850283,30.89357577629212,32.009413213986704,104.47272070650472,21.550848060975284,30.2932457745936,1824.8089746145515,95.72857013984824,4.401659361625789,0.7566241038917955,0.8733632395113076,20.00792015744951,0,0,6.095826889026565,0.7005480674615373,33.1,305.93,153.61,41.46,86.16,96.1,34065.55,74,1119,10490.14
2021-02-04 19:45:00,0.831644424261966,0.95735022794296,207.7801025671112,-45.800130787806616,34.34372530896044,133.89154309687834,57.96184934379939,0.4306649791671829,141.7751070506233,5564.274744853684,63.086022691790106,0.2694854735054994,43.5628046166577,0.8809785918784537,30.616522468046107,33.956066517243364,471.64674071683504,11.12805683047899,45.42006465873117,620.4212219275962,90.38260028536912,1.6408020932966485,6.356422262578543,0.123444453882921,201.72634041361547,0,2,146.7135728623756,0.7021137466368694,27.1,369.99,105.43,90.12,120.36,89.39,181188.88,85,1308,12404.64
2021-04-28 23:30:00,0.8047970226523812,0.9135895678792052,376.35551168730734,-28.59269594526751,33.19273381805208,120.0792475094446,43.330952816834525,0.2532399087488661,153.7658758982503,1687.0939485804893,77.19909672085025,0.1217767203312522,49.22937044272901,0.8909510026000341,30.362052828030382,28.188659947821588,119.33687411141854,12.507307988480388,31.280627143996263,544.6229504028879,48.52673411753484,80.29564631064791,0.3799121277676338,0.1257743455423104,4.565851324515463,0,0,179.00745151813152,0.7365458812837453,34.32,404.9,44.54,20.61,146.55,96.36,65878.43,29,1009,10830.42
2022-06-16 21:00:00,0.8715425333280125,0.9695894564901056,224.10311801081173,-49.119020772942775,31.77228694026404,125.2854999231058,52.77358725106441,0.3568587689404528,369.76308828357855,1639.6990204420172,27.53674163964775,0.9057410324774792,47.6999764741124,0.8862638214555055,33.76241539322731,25.82753873004534,182.9426616238821,22.564009808471823,35.25052819696191,846.9956232186776,50.86425602515884,6.836048602020628,0.3825902949694448,0.1135106066067031,288.8435497286025,0,0,118.23595777398228,0.7456533952939004,32.52,391.87,97.11,65.2,61.62,98.17,80019.53,116,998,10788.3
